cod_ibge,ano_referencia,populacao_estimada,pib_per_capita
1100015,2017,25437,19081.42
1100023,2017,107345,21313.61
1100031,2017,6224,22189.91
1100049,2017,88507,23532.16
1100056,2017,17934,24492.31
1100064,2017,18467,17781.83
1100072,2017,8659,38434.46
1100080,2017,17400,12234.43
1100098,2017,33030,17146.87
1100106,2017,47451,16336.75
1100114,2017,55871,24247.52
1100122,2017,132667,23081.57
1100130,2017,38609,15223.34
1100148,2017,21747,15883.80
1100155,2017,39759,19168.29
1100189,2017,38051,27612.47
1100205,2017,519436,32678.96
1100254,2017,22124,18538.06
1100262,2017,3829,27493.34
1100288,2017,57074,22856.34
1100296,2017,8198,18674.80
1100304,2017,95630,26390.38
1100320,2017,24181,26181.67
1100338,2017,28891,16030.74
1100346,2017,16747,15062.52
1100379,2017,14045,23353.58
1100403,2017,20916,14699.70
1100452,2017,39044,16647.50
1100502,2017,10051,16660.33
1100601,2017,6460,21660.06
1100700,2017,14484,18400.99
1100809,2017,25266,19447.08
1100908,2017,3550,31243.94
1100924,2017,10593,26420.94
1100940,2017,22443,14469.32
1101005,2017,9745,18319.55
1101104,2017,10310,15353.35
1101203,2017,10751,20073.48
1101302,2017,12258,16730.46
1101401,2017,16186,16545.41
1101435,2017,7769,15593.64
1101450,2017,5904,16861.28
1101468,2017,2410,41231.12
1101476,2017,3411,18440.34
1101484,2017,5994,14560.06
1101492,2017,19694,17043.16
1101500,2017,12653,18392.79
1101559,2017,4931,16898.20
1101609,2017,11350,16302.56
1101708,2017,13106,15266.44
1101757,2017,11149,12853.44
1101807,2017,8047,17687.34
1200013,2017,14366,15985.24
1200054,2017,6986,13132.41
1200104,2017,24765,15668.00
1200138,2017,9664,16380.48
1200179,2017,11136,15354.71
1200203,2017,82622,15587.46
1200252,2017,17340,25141.41
1200302,2017,32360,10843.02
1200328,2017,7858,10006.11
1200336,2017,17910,10855.44
1200344,2017,8886,15237.56
1200351,2017,17897,10914.90
1200385,2017,18510,13032.47
1200393,2017,11353,9927.86
1200401,2017,383443,21263.01
1200427,2017,17945,10309.72
1200435,2017,6230,11439.97
1200450,2017,21552,16693.67
1200500,2017,43139,11602.31
1200609,2017,40024,11764.29
1200708,2017,18174,12727.08
1200807,2017,17459,13169.48
1300029,2017,15908,10000.19
1300060,2017,11242,7187.78
1300086,2017,12978,8334.34
1300102,2017,20196,9555.56
1300144,2017,21406,9039.15
1300201,2017,19054,7410.78
1300300,2017,38454,8534.69
1300409,2017,27743,5791.44
1300508,2017,31542,7600.06
1300607,2017,41329,6776.98
1300631,2017,18978,7455.90
1300680,2017,18483,6802.95
1300706,2017,34176,10691.22
1300805,2017,40464,7324.31
1300839,2017,12820,11103.43
1300904,2017,15490,6654.74
1301001,2017,28337,10092.92
1301100,2017,37399,7295.76
1301159,2017,29190,10735.05
1301209,2017,84762,15607.67
1301308,2017,27817,16690.26
1301407,2017,34888,12439.98
1301506,2017,19492,7632.16
1301605,2017,19669,8520.67
1301654,2017,16339,7099.27
1301704,2017,53383,10416.78
1301803,2017,28299,4944.20
1301852,2017,47407,14703.82
1301902,2017,99854,19823.87
1301951,2017,8128,11548.84
1302009,2017,9125,11804.16
1302108,2017,4205,14743.64
1302207,2017,13956,7156.56
1302306,2017,15824,13812.50
1302405,2017,44861,11050.73
1302504,2017,96460,15823.73
1302553,2017,30222,7817.09
1302603,2017,2130264,34373.88
1302702,2017,54708,9064.14
1302801,2017,18531,8304.19
1302900,2017,62212,7379.01
1303007,2017,20902,6806.38
1303106,2017,36431,6432.74
1303205,2017,18586,7088.40
1303304,2017,25112,7300.65
1303403,2017,113832,9594.45
1303502,2017,19597,7696.99
1303536,2017,34574,12887.00
1303569,2017,32001,12004.37
1303601,2017,23765,5164.15
1303700,2017,23075,7490.05
1303809,2017,44553,7063.09
1303908,2017,38047,6189.13
1303957,2017,13421,7547.65
1304005,2017,9211,10463.14
1304062,2017,63635,7279.77
1304104,2017,17930,18900.39
1304203,2017,62021,12037.91
1304237,2017,18782,6593.92
1304260,2017,13428,13894.40
1304302,2017,16968,17581.98
1304401,2017,22148,6461.13
1400027,2017,11560,14110.12
1400050,2017,15933,17329.76
1400100,2017,332020,26949.62
1400159,2017,11945,22339.39
1400175,2017,16877,14674.29
1400209,2017,20807,16713.56
1400233,2017,9493,17170.13
1400282,2017,10859,13896.86
1400308,2017,16852,17797.29
1400407,2017,10527,14102.31
1400456,2017,12375,13881.05
1400472,2017,28215,18805.25
1400506,2017,7740,20042.25
1400605,2017,7597,15681.19
1400704,2017,9836,11844.45
1500107,2017,153380,8719.21
1500131,2017,7231,11151.02
1500206,2017,54096,17231.87
1500305,2017,38144,9392.59
1500347,2017,26682,16616.63
1500404,2017,55246,11028.04
1500503,2017,33195,20066.97
1500602,2017,111435,22444.12
1500701,2017,28466,7192.83
1500800,2017,516057,13526.50
1500859,2017,27096,12961.73
1500909,2017,44734,7439.08
1500958,2017,30471,9103.54
1501006,2017,15947,9074.81
1501105,2017,29808,5912.84
1501204,2017,46110,7733.57
1501253,2017,3200,23895.31
1501303,2017,121190,39761.28
1501402,2017,1452275,20825.79
1501451,2017,17249,9163.72
1501501,2017,60990,22856.58
1501576,2017,16517,9967.73
1501600,2017,15834,8607.43
1501709,2017,124184,8986.85
1501725,2017,14689,16343.05
1501758,2017,7182,11218.74
