cidade_origem,uf_origem,cod_ibge,justificativa
belo horizonte,SP,3106200,"UF divergente no cadastro Olist. Nome confere com Belo Horizonte/MG, unico municipio com esse nome no pais; prefixo(s) de CEP 31160, 31570 a ate 11.2 km do centroide municipal."
blumenau,SP,4202404,"UF divergente no cadastro Olist. Nome confere com Blumenau/SC, unico municipio com esse nome no pais; prefixo(s) de CEP 89052 a ate 1.8 km do centroide municipal."
caxias do sul,SP,4305108,"UF divergente no cadastro Olist. Nome confere com Caxias do Sul/RS, unico municipio com esse nome no pais; prefixo(s) de CEP 95055, 95076 a ate 4.1 km do centroide municipal."
chapeco,SP,4204202,"UF divergente no cadastro Olist. Nome confere com Chapecó/SC, unico municipio com esse nome no pais; prefixo(s) de CEP 89803 a ate 1.3 km do centroide municipal."
curitiba,SP,4106902,"UF divergente no cadastro Olist. Nome confere com Curitiba/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 80240, 81020, 81560 a ate 7.3 km do centroide municipal."
florianopolis,SP,4205407,"UF divergente no cadastro Olist. Nome confere com Florianópolis/SC, unico municipio com esse nome no pais; prefixo(s) de CEP 88075 a ate 6.1 km do centroide municipal."
goioere,SP,4108601,"UF divergente no cadastro Olist. Nome confere com Goioerê/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 87360 a ate 0.0 km do centroide municipal."
itajai,SP,4208203,"UF divergente no cadastro Olist. Nome confere com Itajaí/SC, unico municipio com esse nome no pais; prefixo(s) de CEP 88301 a ate 3.2 km do centroide municipal."
juiz de fora,SP,3136702,"UF divergente no cadastro Olist. Nome confere com Juiz de Fora/MG, unico municipio com esse nome no pais; prefixo(s) de CEP 36010 a ate 1.1 km do centroide municipal."
laguna,SP,4209409,"UF divergente no cadastro Olist. Nome confere com Laguna/SC, unico municipio com esse nome no pais; prefixo(s) de CEP 88790 a ate 0.0 km do centroide municipal."
laranjeiras do sul,SP,4113304,"UF divergente no cadastro Olist. Nome confere com Laranjeiras do Sul/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 85301 a ate 0.4 km do centroide municipal."
londrina,SP,4113700,"UF divergente no cadastro Olist. Nome confere com Londrina/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 86076 a ate 2.8 km do centroide municipal."
marechal candido rondon,PA,4114609,"UF divergente no cadastro Olist. Nome confere com Marechal Cândido Rondon/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 85960 a ate 0.0 km do centroide municipal."
marechal candido rondon,SP,4114609,"UF divergente no cadastro Olist. Nome confere com Marechal Cândido Rondon/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 85960 a ate 0.0 km do centroide municipal."
palhoca,SP,4211900,"UF divergente no cadastro Olist. Nome confere com Palhoça/SC, unico municipio com esse nome no pais; prefixo(s) de CEP 88136 a ate 4.6 km do centroide municipal."
pinhais,SP,4119152,"UF divergente no cadastro Olist. Nome confere com Pinhais/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 83321 a ate 1.7 km do centroide municipal."
porto alegre,SP,4314902,"UF divergente no cadastro Olist. Nome confere com Porto Alegre/RS, unico municipio com esse nome no pais; prefixo(s) de CEP 91520 a ate 3.4 km do centroide municipal."
rio bonito,SP,3304300,"UF divergente no cadastro Olist. Nome confere com Rio Bonito/RJ, unico municipio com esse nome no pais; prefixo(s) de CEP 28810 a ate 11.3 km do centroide municipal."
rio de janeiro,RN,3304557,"UF divergente no cadastro Olist. Nome confere com Rio de Janeiro/RJ, unico municipio com esse nome no pais; prefixo(s) de CEP 21210 a ate 6.9 km do centroide municipal."
rio de janeiro,SP,3304557,"UF divergente no cadastro Olist. Nome confere com Rio de Janeiro/RJ, unico municipio com esse nome no pais; prefixo(s) de CEP 21320, 22783 a ate 16.2 km do centroide municipal."
sao jose dos pinhais,SP,4125506,"UF divergente no cadastro Olist. Nome confere com São José dos Pinhais/PR, unico municipio com esse nome no pais; prefixo(s) de CEP 83020 a ate 3.1 km do centroide municipal."
tocantins,SP,3169000,"UF divergente no cadastro Olist. Nome confere com Tocantins/MG, unico municipio com esse nome no pais; prefixo(s) de CEP 36512 a ate 0.0 km do centroide municipal."
vila velha,SP,3205200,"UF divergente no cadastro Olist. Nome confere com Vila Velha/ES, unico municipio com esse nome no pais; prefixo(s) de CEP 29101 a ate 4.0 km do centroide municipal."
